CNPJ,INSTRUMENT_CODE,INSTRUMENT_NAME,URL_INSTRUMENT,SEGMENT,SECTOR,INSTRUMENTS_CLASS,PAGE_POSITION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
40.884.088/0001-76,AATH11,ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA,https://maisretorno.com//fip/aath11,-,-,lista-fip,1,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
51.484.496/0001-57,AZIN11,AZ QUEST INFRA-YIELD II FIP IE,https://maisretorno.com//fip/azin11,-,-,lista-fip,2,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
35.640.741/0001-11,BDIV11,BTG PACTUAL IE DIV. FDO INV. PART. IE,https://maisretorno.com//fip/bdiv11,-,-,lista-fip,3,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
34.964.179/0001-19,BRZP11,"BRZ INFRA PORTOS FDO, INV. EM PART. INFRAESTRUTURA",https://maisretorno.com//fip/brzp11,-,-,lista-fip,4,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
55.291.703/0001-08,COPN11,COPÉRNICO FDO DE INV EM PART. INFRAESTRUTURA,https://maisretorno.com//fip/copn11,-,-,lista-fip,5,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
35.641.061/0001-12,ENDD11,ENDURANCE DEBT FDO. INVEST. PART. INFRA.,https://maisretorno.com//fip/endd11,-,-,lista-fip,6,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
13.301.359/0001-40,ESUD11,FDO INV PART INFRAESTRUTURA ENERGIA SUSTENTÁVEL II,https://maisretorno.com//fip/esud11,-,-,lista-fip,7,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
13.301.410/0001-14,ESUT11,FDO INV PART EM INFRAESTRUTURA ENERG SUSTENT III,https://maisretorno.com//fip/esut11,-,-,lista-fip,8,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
13.301.469/0001-02,ESUU11,FDO INV PART IE ENERGIA SUSTENTENTAVEL I,https://maisretorno.com//fip/esuu11,-,-,lista-fip,9,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
20.082.573/0001-19,FPOR11,PORTO SUDESTE ROYALTIES - FIP-IE,https://maisretorno.com//fip/fpor11,-,-,lista-fip,10,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
57.473.619/0001-30,KNDI11,KINEA ESTRATÉGIA INFRA CDI FIP IE RESP LTDA,https://maisretorno.com//fip/kndi11,-,-,lista-fip,11,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
36.642.570/0001-22,KNOX11,KNOX DEBT FDO. INVEST. PART. INFRAESTRUTURA,https://maisretorno.com//fip/knox11,-,-,lista-fip,12,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
21.498.349/0001-75,NVRP11,FDO INV PART NOVA RAPOSO - MULTIESTRATEGIA,https://maisretorno.com//fip/nvrp11,-,-,lista-fip,13,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
34.218.291/0001-00,PFIN11,PERFIN APOLLO ENERGIA FIP EM INFRAESTRUTURA,https://maisretorno.com//fip/pfin11,-,-,lista-fip,14,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
34.027.597/0001-80,PICE11,PATRIA INFRAESTRUTURA ENERGIA CORE FIP INFRA,https://maisretorno.com//fip/pice11,-,-,lista-fip,15,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
34.027.597/0001-80,PICE12,PATRIA INFRAESTRUTURA ENERGIA CORE FIP INFRA,https://maisretorno.com//fip/pice12,-,-,lista-fip,16,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
35.640.942/0001-19,PPEI11,PRISMA PROTON ENERGIA FDO. INVEST. PART. INFRA.,https://maisretorno.com//fip/ppei11,-,-,lista-fip,17,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
55.430.054/0001-89,RZDL11,RIZA DELPHI FDO DE INV EM PART INFRA,https://maisretorno.com//fip/rzdl11,-,-,lista-fip,18,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
33.601.138/0001-03,VIGT11,VINCI ENERGIA FDO INV PART IE,https://maisretorno.com//fip/vigt11,-,-,lista-fip,19,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
30.317.464/0001-97,XPIE11,XP INFRA II FDO DE INV PART IE,https://maisretorno.com//fip/xpie11,-,-,lista-fip,20,https://maisretorno.com/lista-fip/page/1#source=avl_instruments,2025-05-16,2025-05-19 10:24:50.228399+0000,1
