,INSTRUMENT,STATISTIC,YTD,MTD,LTM,L_24M,L_36M,L_48M,L_60M,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
0,ABCP11,RENTABILIDADE,0.2229,0.0065,0.3752,0.5292,0.5742,0.8077,0.648,20.6485,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 11:12:06.726061+0000,abcp11
1,ABCP11,VOLATILIDADE,0.2283,0.1154,0.1943,0.1739,0.1777,0.1864,0.1891,0.5672,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 11:12:06.726061+0000,abcp11
2,ABCP11,ÍNDICE DE SHARPE,2.59,0.13,1.37,0.69,0.23,0.26,0.07,0.14,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 11:12:06.726061+0000,abcp11
3,AFHI11,RENTABILIDADE,0.0803,0.0065,0.0786,0.2604,0.3998,0.733,-99999.0,0.6799,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 11:12:51.849248+0000,afhi11
4,AFHI11,VOLATILIDADE,0.1117,0.0708,0.1082,0.0891,0.0914,0.102,-99999.0,0.1131,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 11:12:51.849248+0000,afhi11
5,AFHI11,ÍNDICE DE SHARPE,0.89,0.19,-0.35,0.04,-0.05,0.36,-99999.0,0.23,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 11:12:51.849248+0000,afhi11
6,AIEC11,RENTABILIDADE,0.0128,-0.009,-0.0033,-0.0113,-0.1142,-0.1185,-99999.0,-0.1526,https://maisretorno.com/fii/aiec11#source=instruments_stats,2025-05-19,2025-05-20 11:13:36.900726+0000,aiec11
7,AIEC11,VOLATILIDADE,0.1724,0.0667,0.1895,0.1741,0.1604,0.1902,-99999.0,0.1877,https://maisretorno.com/fii/aiec11#source=instruments_stats,2025-05-19,2025-05-20 11:13:36.900726+0000,aiec11
8,AIEC11,ÍNDICE DE SHARPE,-0.57,-4.55,-0.64,-0.73,-1.03,-0.76,-99999.0,-0.73,https://maisretorno.com/fii/aiec11#source=instruments_stats,2025-05-19,2025-05-20 11:13:36.900726+0000,aiec11
9,AJFI11,RENTABILIDADE,0.0243,0.0014,-0.1006,-99999.0,-99999.0,-99999.0,-99999.0,-0.134,https://maisretorno.com/fii/ajfi11#source=instruments_stats,2025-05-19,2025-05-20 11:14:20.845293+0000,ajfi11
10,AJFI11,VOLATILIDADE,0.1597,0.0789,0.1531,-99999.0,-99999.0,-99999.0,-99999.0,0.1457,https://maisretorno.com/fii/ajfi11#source=instruments_stats,2025-05-19,2025-05-20 11:14:20.845293+0000,ajfi11
11,AJFI11,ÍNDICE DE SHARPE,-0.42,-1.29,-1.44,-99999.0,-99999.0,-99999.0,-99999.0,-1.42,https://maisretorno.com/fii/ajfi11#source=instruments_stats,2025-05-19,2025-05-20 11:14:20.845293+0000,ajfi11
12,ALMI11,RENTABILIDADE,0.0079,-0.0389,-0.0461,-0.2121,-0.3542,-0.4673,-0.5066,-0.3278,https://maisretorno.com/fii/almi11#source=instruments_stats,2025-05-19,2025-05-20 11:15:05.686558+0000,almi11
13,ALMI11,VOLATILIDADE,0.4518,0.3651,0.3753,0.3495,0.3276,0.3708,0.3604,0.3537,https://maisretorno.com/fii/almi11#source=instruments_stats,2025-05-19,2025-05-20 11:15:05.686558+0000,almi11
14,ALMI11,ÍNDICE DE SHARPE,-0.27,-2.03,-0.48,-0.73,-0.86,-0.74,-0.66,-0.38,https://maisretorno.com/fii/almi11#source=instruments_stats,2025-05-19,2025-05-20 11:15:05.686558+0000,almi11
15,ALZC11,RENTABILIDADE,-0.0169,0.0096,0.0133,-99999.0,-99999.0,-99999.0,-99999.0,0.0287,https://maisretorno.com/fii/alzc11#source=instruments_stats,2025-05-19,2025-05-20 11:15:49.840965+0000,alzc11
16,ALZC11,VOLATILIDADE,0.3185,0.2671,0.2551,-99999.0,-99999.0,-99999.0,-99999.0,0.2447,https://maisretorno.com/fii/alzc11#source=instruments_stats,2025-05-19,2025-05-20 11:15:49.840965+0000,alzc11
17,ALZC11,ÍNDICE DE SHARPE,-0.59,0.34,-0.47,-99999.0,-99999.0,-99999.0,-99999.0,-0.42,https://maisretorno.com/fii/alzc11#source=instruments_stats,2025-05-19,2025-05-20 11:15:49.840965+0000,alzc11
18,ALZM11,RENTABILIDADE,-0.1624,-0.0713,-0.1555,-0.0091,0.1478,-99999.0,-99999.0,0.5901,https://maisretorno.com/fii/alzm11#source=instruments_stats,2025-05-19,2025-05-20 11:16:34.493813+0000,alzm11
19,ALZM11,VOLATILIDADE,0.2211,0.6873,0.2197,0.2086,0.2174,-99999.0,-99999.0,0.4475,https://maisretorno.com/fii/alzm11#source=instruments_stats,2025-05-19,2025-05-20 11:16:34.493813+0000,alzm11
20,ALZM11,ÍNDICE DE SHARPE,-1.24,-1.2,-1.2,-0.6,-0.34,-99999.0,-99999.0,0.06,https://maisretorno.com/fii/alzm11#source=instruments_stats,2025-05-19,2025-05-20 11:16:34.493813+0000,alzm11
21,BRCO11,RENTABILIDADE,0.1246,-0.0178,0.0253,0.2632,0.5111,0.4886,0.4537,0.5676,https://maisretorno.com/fii/brco11#source=instruments_stats,2025-05-19,2025-05-20 11:17:19.843722+0000,brco11
22,BRCO11,VOLATILIDADE,0.1567,0.0836,0.1523,0.1499,0.1511,0.1587,0.1586,0.1945,https://maisretorno.com/fii/brco11#source=instruments_stats,2025-05-19,2025-05-20 11:17:19.843722+0000,brco11
23,BRCO11,ÍNDICE DE SHARPE,1.54,-5.32,-0.6,0.04,0.16,-0.04,-0.1,-0.01,https://maisretorno.com/fii/brco11#source=instruments_stats,2025-05-19,2025-05-20 11:17:19.843722+0000,brco11
24,ICRI11,RENTABILIDADE,0.1936,0.0285,0.1443,-99999.0,-99999.0,-99999.0,-99999.0,0.1552,https://maisretorno.com/fii/icri11#source=instruments_stats,2025-05-19,2025-05-20 11:18:04.850749+0000,icri11
25,ICRI11,VOLATILIDADE,0.229,0.132,0.1826,-99999.0,-99999.0,-99999.0,-99999.0,0.17,https://maisretorno.com/fii/icri11#source=instruments_stats,2025-05-19,2025-05-20 11:18:04.850749+0000,icri11
26,ICRI11,ÍNDICE DE SHARPE,2.1,5.08,0.16,-99999.0,-99999.0,-99999.0,-99999.0,0.05,https://maisretorno.com/fii/icri11#source=instruments_stats,2025-05-19,2025-05-20 11:18:04.850749+0000,icri11
